player_id,player_name,shots,goals,xg,execution_value_sum,shots_up,goals_up,xg_up,execution_value_sum_up,touches_final_third,touches_in_box,deep_touches,deep_completions,touches_final_third_up,touches_in_box_up,deep_touches_up,deep_completions_up,key_passes_final_third,assists_final_third,passes_into_box,passes_into_deep_zone,key_passes_final_third_up,assists_final_third_up,passes_into_box_up,passes_into_deep_zone_up,deep_progressions_pass,deep_progressions_carry,deep_progressions_pass_deep,deep_progressions_carry_deep,deep_progressions_pass_up,deep_progressions_carry_up,deep_progressions_pass_deep_up,deep_progressions_carry_deep_up,dribbles_attempted_ft,dribbles_completed_ft,dribbles_attempted_ft_up,dribbles_completed_ft_up,miscontrols_ft,miscontrols_ft_up,dispossessed_ft,dispossessed_ft_up,fouls_won_ft,fouls_won_ft_up,xg_per_shot,goals_per_shot,execution_value_per_shot,xg_per_shot_up,goals_per_shot_up,execution_value_per_shot_up,dribble_success_ft,dribble_success_ft_up,box_touch_share,deep_touch_share,key_pass_rate,assist_rate,box_pass_rate,deep_pass_rate,prog_pass,prog_carry,fouls_won_rate,bad_touches,finishing_score,chance_creation_score,progression_score,dribbling_onball_score
3532,Jordan Brian Henderson,26,2,2.206942035,-0.20694203500000002,3,0,0.244321967,-0.244321967,700,65,53,57,105,11,10,9,12,2,40,32,1,0,1,1,110,24,7,1,13,5,0,0,8,3,8,3,4,0,1,1,2,2,0.08488238596153846,0.07692307692307693,-0.007959309038461539,0.08144065566666667,0.0,-0.08144065566666667,0.375,0.375,0.09285714285714286,0.07571428571428572,0.017142857142857144,0.002857142857142857,0.05714285714285714,0.045714285714285714,120.5,25.5,0.002857142857142857,5,0.2238459636961142,0.26562987012987016,0.47262054837693035,0.5233549783549784
4747,Divock Okoth Origi,24,5,2.3073988329000006,2.6926011670999994,8,2,0.6975568529999999,1.302443147,473,130,80,49,131,38,21,19,9,1,11,10,0,0,2,2,2,21,0,2,1,12,0,1,14,10,14,10,11,3,16,16,5,5,0.09614161803750003,0.20833333333333334,0.11219171529583331,0.08719460662499999,0.25,0.162805393375,0.7142857142857143,0.7142857142857143,0.2748414376321353,0.16913319238900634,0.019027484143763214,0.0021141649048625794,0.023255813953488372,0.021141649048625793,2.0,24.0,0.010570824524312896,27,0.5932737737314346,0.18461945031712473,0.11125118184683265,0.7751937984496123
3635,Jordon Ibe,30,1,1.2689323965,-0.2689323965,1,0,0.010115743,-0.010115743,1017,81,41,54,242,13,9,17,17,1,36,26,1,0,5,2,35,60,2,1,3,25,0,1,44,27,44,27,19,8,30,30,5,5,0.042297746549999994,0.03333333333333333,-0.008964413216666666,0.010115743,0.0,-0.010115743,0.6136363636363636,0.6136363636363636,0.07964601769911504,0.04031465093411996,0.01671583087512291,0.0009832841691248771,0.035398230088495575,0.025565388397246803,38.0,61.5,0.004916420845624385,49,0.15752215010958262,0.16215026369893626,0.38350929719508353,0.47488900807484874
3535,Roberto Firmino Barbosa de Oliveira,64,10,7.345558415000001,2.6544415849999994,9,2,1.735384436,0.26461556399999997,1621,323,237,139,399,66,47,42,32,7,40,31,7,0,10,9,50,45,1,0,7,24,0,0,48,31,48,31,37,5,35,35,5,5,0.11477435023437502,0.15625,0.04147564976562499,0.1928204928888889,0.2222222222222222,0.02940172933333333,0.6458333333333334,0.6458333333333334,0.19925971622455274,0.1462060456508328,0.01974090067859346,0.00431832202344232,0.024676125848241828,0.019123997532387416,51.5,45.0,0.0030845157310302285,72,0.42945833286771085,0.258985755145533,0.3515600378190986,0.3304864432640497
38412,Kolo Habib Touré,4,1,0.29085574999999997,0.7091442499999999,2,0,0.17350048799999998,-0.17350048799999998,26,10,10,3,5,1,1,0,0,0,0,1,0,0,0,0,15,7,0,0,3,4,0,0,2,1,2,1,0,0,0,0,0,0,0.07271393749999999,0.25,0.17728606249999998,0.08675024399999999,0.0,-0.08675024399999999,0.5,0.5,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.038461538461538464,15.0,7.0,0.0,0,0.8430232558139534,0.009615384615384616,0.07561193402668348,0.5
10007,Jon Flanagan,0,0,0.0,0.0,0,0,0.0,0.0,158,2,1,1,23,0,0,0,1,0,2,1,0,0,0,0,14,4,0,0,0,2,0,0,1,1,1,1,2,1,3,3,1,1,,,,,,,1.0,1.0,0.012658227848101266,0.006329113924050633,0.006329113924050633,0.0,0.012658227848101266,0.006329113924050633,14.0,4.0,0.006329113924050633,5,0.016882543420665294,0.04749712313003452,0.05946002731379346,0.8370047673845141
3380,Christian Benteke Liolo,64,9,11.003690722999998,-2.003690723,16,1,1.4815379530000001,-0.48153795300000013,1071,391,368,155,258,64,63,40,24,3,30,20,8,2,15,11,14,14,1,2,5,12,1,2,10,3,10,3,33,10,23,23,10,10,0.17193266754687497,0.140625,-0.031307667546875,0.09259612206250001,0.0625,-0.030096122062500008,0.3,0.3,0.36507936507936506,0.34360410830999066,0.022408963585434174,0.0028011204481792717,0.028011204481792718,0.018674136321195144,15.5,17.0,0.009337068160597572,56,0.5059249031575335,0.22679101943807825,0.12096858913751443,0.4741334917805506
13200,Oluwaseyi Babajide Ojo,5,0,0.3465609515,-0.3465609515,1,0,0.025211615,-0.025211615,253,37,18,16,73,10,1,5,9,2,8,5,2,0,0,0,10,19,0,1,0,15,0,1,10,6,10,6,10,4,9,9,1,1,0.06931219029999999,0.0,-0.06931219029999999,0.025211615,0.0,-0.025211615,0.6,0.6,0.14624505928853754,0.07114624505928854,0.03557312252964427,0.007905138339920948,0.03162055335968379,0.019762845849802372,10.0,20.5,0.003952569169960474,19,0.10944494910500646,0.44473589651455264,0.11985240046223343,0.5709768492377187
10326,João Carlos Vilaça Teixeira,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.4935064935064935
11992,Kevin Linford Stewart,5,0,0.22761357999999998,-0.22761357999999998,0,0,0.0,0.0,131,6,3,1,20,2,0,0,2,0,2,0,0,0,1,0,27,6,0,0,4,2,0,0,3,2,3,2,1,0,0,0,1,1,0.045522716,0.0,-0.045522716,,,,0.6666666666666666,0.6666666666666666,0.04580152671755725,0.022900763358778626,0.015267175572519083,0.0,0.015267175572519083,0.0,27.0,6.0,0.007633587786259542,1,0.0662343854860843,0.08438584316446912,0.10715411282697762,0.7827787140764239
4243,Cameron Brannagan,1,0,0.08262946,-0.08262946,0,0,0.0,0.0,74,4,4,3,27,0,0,0,1,0,2,1,0,0,0,0,6,5,0,0,0,2,0,0,4,2,4,2,1,0,0,0,0,0,0.08262946,0.0,-0.08262946,,,,0.5,0.5,0.05405405405405406,0.05405405405405406,0.013513513513513514,0.0,0.02702702702702703,0.013513513513513514,6.0,5.0,0.0,1,0.04820867379006914,0.1014127764127764,0.039893896417690936,0.49567099567099565
9985,Ádám Bogdán,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1.0,0.0,,0,,,0.0029940119760479044,
13448,Bradley Shaun Smith,1,0,0.026966754,-0.026966754,1,0,0.026966754,-0.026966754,160,14,11,10,41,6,6,4,2,0,3,2,0,0,0,0,7,5,0,0,2,2,0,0,6,2,6,2,4,1,1,1,1,1,0.026966754,0.0,-0.026966754,0.026966754,0.0,-0.026966754,0.3333333333333333,0.3333333333333333,0.0875,0.06875,0.0125,0.0,0.01875,0.0125,7.0,5.0,0.00625,5,0.12313951900597989,0.08301136363636365,0.042887908393738836,0.6123827561327562
4762,Sergi Canós Tenes,0,0,0.0,0.0,0,0,0.0,0.0,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5563953488372093,0.0,0.0,0.4935064935064935
3495,Joe Gomez,1,0,0.016134378,-0.016134378,0,0,0.0,0.0,140,0,0,3,19,0,0,0,1,0,4,3,1,0,0,0,21,5,0,0,1,3,0,0,1,0,1,0,0,0,4,4,0,0,0.016134378,0.0,-0.016134378,,,,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.02857142857142857,0.02142857142857143,21.0,5.0,0.0,4,0.06395835977822371,0.08185064935064934,0.08480407605840949,0.31601731601731603
8485,Pedro Chirivella Burgos,0,0,0.0,0.0,0,0,0.0,0.0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.007379976888328606,0.5
9914,Danny Ward,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0.0,0.0,,0,,,0.0,
20781,Jordan Rossiter,0,0,0.0,0.0,0,0,0.0,0.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5
9958,Steven Caulker,1,0,0.07773794,-0.07773794,0,0,0.0,0.0,9,3,5,3,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.07773794,0.0,-0.07773794,,,,,,0.3333333333333333,0.5555555555555556,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,1,0.40199173501047913,0.21969696969696967,0.0,0.4935064935064935
22058,Connor Steven Randall,2,0,0.12659223,-0.12659223,0,0,0.0,0.0,54,3,3,1,2,0,0,0,0,0,1,0,0,0,0,0,9,1,0,0,3,0,0,0,2,0,2,0,1,0,1,1,0,0,0.063296115,0.0,-0.063296115,,,,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.018518518518518517,0.0,9.0,1.0,0.0,2,0.06814360044998224,0.03198653198653199,0.031332072696711843,0.3246753246753247
